L;16;Thüringen
G;16;0;69;004;Bischofrod
G;16;0;69;006;Brünn/Thür.
G;16;0;69;008;Dingsleben
G;16;0;69;009;Ehrenberg
G;16;0;69;011;Eichenberg
G;16;0;69;012;Eisfeld
G;16;0;69;016;Grimmelshausen
G;16;0;69;017;Grub
G;16;0;69;021;Henfstädt
G;16;0;69;024;Hildburghausen
G;16;0;69;025;Kloster Veßra
G;16;0;69;026;Lengfeld
G;16;0;69;028;Marisfeld
G;16;0;69;035;Oberstadt
G;16;0;69;037;Reurieth
G;16;0;69;041;Schlechtsart
G;16;0;69;042;Schleusegrund
G;16;0;69;043;Schleusingen
G;16;0;69;044;Schmeheim
G;16;0;69;046;Schweickershausen
G;16;0;69;047;St.Bernhard
G;16;0;69;049;Straufhain
G;16;0;69;051;Themar
G;16;0;69;052;Ummerstadt
G;16;0;69;053;Veilsdorf
G;16;0;69;056;Westhausen
G;16;0;69;058;Auengrund
G;16;0;69;061;Masserberg
G;16;0;69;062;Römhild
G;16;0;69;063;Heldburg
G;16;0;70;001;Alkersleben
G;16;0;70;004;Arnstadt
G;16;0;70;006;Bösleben-Wüllersleben
G;16;0;70;008;Dornheim
G;16;0;70;011;Elgersburg
G;16;0;70;012;Elleben
G;16;0;70;013;Elxleben
G;16;0;70;028;Amt Wachsenburg
G;16;0;70;029;Ilmenau
G;16;0;70;034;Martinroda
G;16;0;70;041;Osthausen-Wülfershausen
G;16;0;70;043;Plaue
G;16;0;70;048;Stadtilm
G;16;0;70;054;Witzleben
G;16;0;70;057;Geratal
G;16;0;70;058;Großbreitenbach
G;16;0;71;001;Apolda
G;16;0;71;003;Bad Berka
G;16;0;71;004;Bad Sulza
G;16;0;71;005;Ballstedt
G;16;0;71;008;Blankenhain
G;16;0;71;009;Buchfart
G;16;0;71;013;Döbritschen
G;16;0;71;015;Eberstedt
G;16;0;71;017;Ettersburg
G;16;0;71;019;Frankendorf
G;16;0;71;022;Großheringen
G;16;0;71;025;Großschwabhausen
G;16;0;71;027;Hammerstedt
G;16;0;71;031;Hetschburg
G;16;0;71;032;Hohenfelden
G;16;0;71;037;Kapellendorf
G;16;0;71;038;Kiliansroda
G;16;0;71;042;Kleinschwabhausen
G;16;0;71;043;Klettbach
G;16;0;71;046;Kranichfeld
G;16;0;71;049;Lehnstedt
G;16;0;71;053;Magdala
G;16;0;71;055;Mechelroda
G;16;0;71;056;Mellingen
G;16;0;71;059;Nauendorf
G;16;0;71;061;Neumark
G;16;0;71;064;Niedertrebra
G;16;0;71;069;Obertrebra
G;16;0;71;071;Oettern
G;16;0;71;077;Rannstedt
G;16;0;71;079;Rittersdorf
G;16;0;71;083;Schmiedehausen
G;16;0;71;087;Tonndorf
G;16;0;71;089;Umpferstedt
G;16;0;71;093;Vollersroda
G;16;0;71;095;Wiegendorf
G;16;0;71;101;Ilmtal-Weinstraße
G;16;0;71;102;Am Ettersberg
G;16;0;71;103;Grammetal
G;16;0;72;006;Goldisthal
G;16;0;72;011;Lauscha
G;16;0;72;013;Neuhaus am Rennweg
G;16;0;72;015;Schalkau
G;16;0;72;018;Sonneberg
G;16;0;72;019;Steinach
G;16;0;72;023;Frankenblick
G;16;0;72;024;Föritztal
G;16;0;73;001;Allendorf
G;16;0;73;002;Altenbeuthen
G;16;0;73;005;Bad Blankenburg
G;16;0;73;006;Bechstedt
G;16;0;73;013;Cursdorf
G;16;0;73;014;Deesbach
G;16;0;73;017;Döschnitz
G;16;0;73;028;Gräfenthal
G;16;0;73;035;Hohenwarte
G;16;0;73;037;Katzhütte
G;16;0;73;038;Kaulsdorf
G;16;0;73;046;Lehesten
G;16;0;73;055;Meura
G;16;0;73;067;Probstzella
G;16;0;73;074;Rohrbach
G;16;0;73;076;Rudolstadt
G;16;0;73;077;Saalfeld/Saale
G;16;0;73;082;Schwarzburg
G;16;0;73;084;Sitzendorf
G;16;0;73;094;Unterweißbach
G;16;0;73;106;Leutenberg
G;16;0;73;107;Drognitz
G;16;0;73;109;Uhlstädt-Kirchhasel
G;16;0;73;111;Unterwellenborn
G;16;0;73;112;Königsee
G;16;0;73;113;Schwarzatal
G;16;0;74;001;Albersdorf
G;16;0;74;002;Altenberga
G;16;0;74;003;Bad Klosterlausnitz
G;16;0;74;004;Bibra
G;16;0;74;005;Bobeck
G;16;0;74;007;Bremsnitz
G;16;0;74;008;Bucha
G;16;0;74;009;Bürgel
G;16;0;74;011;Dornburg-Camburg
G;16;0;74;012;Crossen an der Elster
G;16;0;74;016;Eichenberg
G;16;0;74;017;Eineborn
G;16;0;74;018;Eisenberg
G;16;0;74;019;Frauenprießnitz
G;16;0;74;021;Freienorla
G;16;0;74;022;Geisenhain
G;16;0;74;024;Gneus
G;16;0;74;025;Gösen
G;16;0;74;026;Golmsdorf
G;16;0;74;028;Graitschen b. Bürgel
G;16;0;74;029;Großbockedra
G;16;0;74;031;Großeutersdorf
G;16;0;74;032;Großlöbichau
G;16;0;74;033;Großpürschütz
G;16;0;74;034;Gumperda
G;16;0;74;036;Hainichen
G;16;0;74;037;Hainspitz
G;16;0;74;038;Hartmannsdorf
G;16;0;74;039;Heideland
G;16;0;74;041;Hermsdorf
G;16;0;74;042;Hummelshain
G;16;0;74;043;Jenalöbnitz
